codigo	mediaOperacoes90Dias	uf	cidade
229	95	RS	CANOAS
21	91	RS	SANTA ROSA
49	84	RS	SANTANA DO LIVRAMENTO
300	84	RS	BAGE
90	74	RS	ITAQUI
255	71	RS	SAO LEOPOLDO
44	69	RS	ALEGRETE
257	68	RS	Gramado
51	67	RS	SAO GABRIEL
115	66	RS	CACAPAVA DO SUL
224	65	RS	PASSO FUNDO
86	60	RS	DOM PEDRITO
25	60	RS	PALMEIRA DAS MISSOES
72	59	RS	CRUZ ALTA
250	57	SC	LAGES
104	54	RS	SANTA MARIA
48	54	SC	CHAPECO
13	52	RS	SAO BORJA
283	51	SC	Curitibanos
94	49	RS	CARAZINHO
114	49	RS	SAO SEPE
23	49	RS	TRES DE MAIO
122	47	RS	PASSO FUNDO
508	47	RS	CANELA
121	46	RS	SAO FRANCISCO DE ASSIS
50	46	RS	ROSARIO DO SUL
193	46	RS	CAXIAS DO SUL
185	46	RS	CANELA
194	45	RS	JULIO DE CASTILHOS
24	44	RS	SANTO ANGELO
400	44	SC	CORUPA
102	43	RS	BENTO GONCALVES
303	42	RS	SANTA MARIA
361	42	RS	RIO GRANDE
126	42	RS	GARIBALDI
645	40	RS	CRUZ ALTA
92	40	RS	SANTIAGO
73	40	RS	PASSO FUNDO
15	40	RS	HORIZONTINA
78	39	RS	PAROBE
142	39	RS	CANDELARIA
296	39	RS	PASSO FUNDO
29	39	RS	GIRUA
22	38	RS	SAO LUIZ GONZAGA
198	38	RS	FLORES DA CUNHA
76	38	RS	IBIRUBA
174	38	RS	RIO PARDO
3	38	RS	SANTO CRISTO
12	38	RS	CRISSIUMAL
286	38	RS	CARAZINHO
83	37	RS	MARAU
297	37	RS	ERECHIM
661	37	MS	NOVA ALVORADA DO SUL
37	37	RS	FREDERICO WESTPHALEN
99	37	RS	MONTENEGRO
312	37	RS	SANTA ROSA
341	37	RS	SÃO JOSÉ DO NORTE
27	37	RS	NAO-ME-TOQUE
145	37	RS	TAQUARI
103	37	RS	CANGUCU
156	37	RS	ENCRUZILHADA DO SUL
238	37	PR	TOLEDO
47	36	RS	URUGUAIANA
329	36	PR	SANTA HELENA
295	36	RS	SANTA CRUZ DO SUL
415	36	PR	SAO MATEUS DO SUL
172	36	RS	QUARAI
309	35	RS	URUGUAIANA
325	35	RS	PASSO FUNDO
108	35	RS	SAO LOURENCO DO SUL
579	35	MS	NAVIRAI
268	35	SC	LAGES
186	35	RS	ROQUE GONZALES
216	35	RS	SOBRADINHO
262	35	RS	PORTO ALEGRE
134	34	RS	SAO FRANCISCO DE PAULA
9	34	RS	TUPARENDI
236	34	SC	VIDEIRA
541	34	MS	CAARAPO
180	33	RS	PIRATINI
93	33	RS	BAGE
52	33	RS	PANAMBI
244	32	SC	São Joaquim
19	32	RS	TENENTE PORTELA
16	32	RS	TRES PASSOS
181	32	RS	SANTA CRUZ DO SUL
650	31	MS	TRES LAGOAS
120	31	RS	CACEQUI
46	31	RS	SANTO ANGELO
187	31	RS	SAPUCAIA DO SUL
336	31	RS	SANTA MARIA
385	31	RS	SANTO ANGELO
505	31	SC	SAO JOSE DO CERRITO
129	30	RS	SANTO ANTONIO DA PATRULHA
53	30	RS	ERECHIM
306	30	RS	Bom Jesus
82	30	RS	SAPIRANGA
550	30	PR	CASCAVEL
124	30	RS	CAPAO DA CANOA
65	30	RS	SANTANA DO LIVRAMENTO
206	30	RS	CAXIAS DO SUL
123	29	RS	CACHOEIRA DO SUL
234	29	SC	CAMPOS NOVOS
606	29	MS	DEODAPOLIS
614	29	MS	BATAGUASSU
189	29	RS	TRES COROAS
327	29	PR	PATO BRANCO
84	29	RS	CAMPO BOM
220	29	SC	XANXERE
183	29	RS	CAXIAS DO SUL
191	29	RS	JAGUARAO
215	29	RS	SANTA VITORIA DO PALMAR
331	29	RS	MANOEL VIANA
69	29	RS	JAGUARI
248	29	PR	QUEDAS DO IGUACU
527	29	RS	SANTA MARIA
178	29	RS	VACARIA
403	29	PR	SAO MIGUEL DO IGUACU
263	28	RS	PORTO ALEGRE
494	28	RS	OSORIO
88	28	RS	PELOTAS
95	28	RS	TUPANCIRETA
371	28	RS	PALMITINHO
648	28	PR	RIO BONITO DO IGUACU
524	28	SP	PRESIDENTE EPITACIO
439	28	PR	ORTIGUEIRA
232	28	PR	PATO BRANCO
686	28	PR	MARILUZ
281	28	SC	CHAPECO
391	28	PR	ASSIS CHATEAUBRIAND
184	28	RS	SOLEDADE
222	27	SC	CACADOR
205	27	RS	ALVORADA
81	27	RS	CAMAQUA
85	27	RS	RIO GRANDE
8	27	RS	TUCUNDUVA
